Species,Current Range,Current Freq
Abies koreana,19.5648003,80
Abies nordmanniana,9.0349998,14
Abies pinsapo,19.5006981,205
Acer griseum,20.5648003,30
Acipenser ruthenus,12.5,52
Aldrovanda vesiculosa,12.4831009,17
Alytes dickhilleni,1.8540993,20
Anaecypris hispanica,2.4424019,21
Anarrhinum duriminium,2.5,19
Anchusa crispa,6.0512009,10
Aphanius iberus,5.3442993,17
Aquila nipalensis,35.4974976,122
Araucaria araucana,25.9542999,217
Austropotamobius pallipes,21.6676979,481
Balaenoptera borealis,31.7784042,12
Balearica regulorum,16.5010986,39
Barbus caninus,1.9954987,13
Brachyopa maculipennis,9.5,10
Bythinella viridis,2.4897003,14
Calidris tenuirostris,23.8762016,20
Callicera macquartii,17.0245018,16
Campanula vidalii,2.4902992,12
Cedrus atlantica,22.5130997,576
Cephaloziella nicholsonii,3.0396996,12
Cetorhinus maximus,30.0592957,46
Cheilosia ingerae,8.5032959,12
Cheilosia morio,21.4999962,46
Chelonia mydas,22.9610023,31
Chondrostoma soetta,6,30
Cladocora caespitosa,8.2146988,70
Cobitis calderoni,2.5,57
Corticeus bicoloroides,10.4751015,23
Corticeus vanmeeri,2,10
Ditrichum plumbicola,8.5,19
Draba oxycarpa,15.0036011,12
Dracaena draco,27.4981995,18
Echium pininana,14.007,73
Ephippiger ruffoi,1.5,10
Epipactis muelleri,9.1402016,12
Equus ferus,5.3975983,15
Equus przewalskii,9.5010986,14
Erigeron glabratus,8,17
Eucalyptus gunnii,21.0862999,38
Falco cherrug,28.0235023,150
Galemys pyrenaicus,3.3955994,102
Genista ancistrocarpa,4.963501,10
Geronticus eremita,21.4333992,177
Ginkgo biloba,26.5648003,293
Gymnadenia widderi,5.5,12
Hippoglossus hippoglossus,19.2905998,36
Hucho hucho,8.5,21
Hydroporus planus,20.9985008,346
Iberolacerta cyreni,1,10
Isoetes longissima,10.5,16
Juglans cinerea,14.5648003,34
Kalanchoe daigremontiana,27.0564995,46
Lactuca watsoniana,1.604599,10
Limoniscus violaceus,9.5,45
Lonchura oryzivora,9.9953003,23
Lynx pardinus,3.9297981,65
Magnolia stellata,20.0648003,72
Margaritifera margaritifera,29.4551964,414
Marsilea batardae,2.4020996,18
Mauremys reevesii,15.9297981,22
Metasequoia glyptostroboides,20.5648003,200
Microdon major,8.9953003,29
Mobula mobular,2.6513023,11
Mustelus mustelus,19.3689995,31
Neophron percnopterus,33.0150032,426
Oryctolagus cuniculus,33.0219955,1319
Oxyura leucocephala,20.4333992,179
Phocoena phocoena,5.1814995,11
Picea omorika,23.4999962,201
Pilularia minuta,6.5400009,16
Pinus mugo,16.2654991,40
Pinus radiata,23.5669022,110
Platanthera micrantha,14.2028008,15
Poa laxa,7,55
Podarcis carbonelli,4.4275017,28
Potomida littoralis,13,142
Psittacus erithacus,17.4333992,64
Pusa hispida,1.5,10
Raja undulata,18.9017982,75
Ropalopus ungaricus,5,17
Salamandrina perspicillata,3.5,41
Seligeria carniolica,12.9383011,11
Sequoia sempervirens,26.9188995,381
Sequoiadendron giganteum,22.4025993,513
Speleomantes italicus,10,19
Speleomantes strinatii,3,17
Spermophilus citellus,10.5017014,125
Sphingonotus personatus,5.0586014,15
Splachnum melanocaulon,6.9999962,11
Syringa josikaea,24.4118996,171
Testudo hermanni,12.9454994,67
Unio crassus,21,340
Xerosecta explanata,5.4435997,12
